# TITLE= "run52_thmin45_thmax85_rv1e19_f0p01_r1.lev2_emiss.dat"
# Coord_Sys CYLIND
x z var inwind i j
5.4078e+16 6.5836e+19 nan -1 3 94
5.4078e+16 7.4226e+19 nan -1 3 95
5.4078e+16 8.3685e+19 nan -1 3 96
5.4078e+16 9.4349e+19 nan -1 3 97
5.4078e+16 1.0637e+20 nan -1 3 98
5.4078e+16 1.1993e+20 nan -1 3 99
5.8559e+16 442830000000000.0 0.0 0 4 0
5.8559e+16 942100000000000.0 0.0 0 4 1
5.8559e+16 1062200000000000.0 0.0 0 4 2
5.8559e+16 1197500000000000.0 0.0 0 4 3
5.8559e+16 1350100000000000.0 0.0 0 4 4
5.8559e+16 1522100000000000.0 0.0 0 4 5
5.8559e+16 1716100000000000.0 0.0 0 4 6
5.8559e+16 1934800000000000.0 0.0 0 4 7
5.8559e+16 2181400000000000.0 0.0 0 4 8
5.8559e+16 2459300000000000.0 0.0 0 4 9
5.8559e+16 2772700000000000.0 0.0 0 4 10
5.8559e+16 3126000000000000.0 0.0 0 4 11
5.8559e+16 3524400000000000.0 0.0 0 4 12
5.8559e+16 3973500000000000.0 0.0 0 4 13
5.8559e+16 4479900000000000.0 0.0 0 4 14
5.8559e+16 5050800000000000.0 0.0 0 4 15
5.8559e+16 5694400000000000.0 0.0 0 4 16
5.8559e+16 6420000000000000.0 0.0 0 4 17
5.8559e+16 7238100000000000.0 0.0 0 4 18
5.8559e+16 8160500000000000.0 0.0 0 4 19
5.8559e+16 9200400000000000.0 0.0 0 4 20
5.8559e+16 1.0373e+16 0.0 0 4 21
5.8559e+16 1.1695e+16 0.0 1 4 22
5.8559e+16 1.3185e+16 0.0 1 4 23
5.8559e+16 1.4865e+16 0.0 1 4 24
5.8559e+16 1.6759e+16 0.0 1 4 25
5.8559e+16 1.8895e+16 nan -1 4 26
5.8559e+16 2.1303e+16 nan -1 4 27
5.8559e+16 2.4017e+16 nan -1 4 28
5.8559e+16 2.7078e+16 nan -1 4 29
5.8559e+16 3.0529e+16 nan -1 4 30
5.8559e+16 3.4419e+16 nan -1 4 31
5.8559e+16 3.8805e+16 nan -1 4 32
5.8559e+16 4.375e+16 nan -1 4 33
5.8559e+16 4.9325e+16 nan -1 4 34
5.8559e+16 5.561e+16 nan -1 4 35
5.8559e+16 6.2697e+16 nan -1 4 36
5.8559e+16 7.0686e+16 nan -1 4 37
5.8559e+16 7.9694e+16 nan -1 4 38
5.8559e+16 8.985e+16 nan -1 4 39
5.8559e+16 1.013e+17 nan -1 4 40
5.8559e+16 1.1421e+17 nan -1 4 41
5.8559e+16 1.2876e+17 nan -1 4 42
5.8559e+16 1.4517e+17 nan -1 4 43
5.8559e+16 1.6367e+17 nan -1 4 44
5.8559e+16 1.8453e+17 nan -1 4 45
5.8559e+16 2.0804e+17 nan -1 4 46
5.8559e+16 2.3455e+17 nan -1 4 47
5.8559e+16 2.6444e+17 nan -1 4 48
5.8559e+16 2.9814e+17 nan -1 4 49
5.8559e+16 3.3613e+17 nan -1 4 50
5.8559e+16 3.7896e+17 nan -1 4 51
5.8559e+16 4.2725e+17 nan -1 4 52
5.8559e+16 4.817e+17 nan -1 4 53
5.8559e+16 5.4308e+17 nan -1 4 54
5.8559e+16 6.1229e+17 nan -1 4 55
5.8559e+16 6.9031e+17 nan -1 4 56
5.8559e+16 7.7828e+17 nan -1 4 57
5.8559e+16 8.7746e+17 nan -1 4 58
5.8559e+16 9.8927e+17 nan -1 4 59
5.8559e+16 1.1153e+18 nan -1 4 60
5.8559e+16 1.2575e+18 nan -1 4 61
5.8559e+16 1.4177e+18 nan -1 4 62
5.8559e+16 1.5984e+18 nan -1 4 63
5.8559e+16 1.802e+18 nan -1 4 64
5.8559e+16 2.0317e+18 nan -1 4 65
5.8559e+16 2.2906e+18 nan -1 4 66
5.8559e+16 2.5825e+18 nan -1 4 67
5.8559e+16 2.9116e+18 nan -1 4 68
5.8559e+16 3.2826e+18 nan -1 4 69
5.8559e+16 3.7009e+18 nan -1 4 70
5.8559e+16 4.1725e+18 nan -1 4 71
5.8559e+16 4.7042e+18 nan -1 4 72
5.8559e+16 5.3037e+18 nan -1 4 73
5.8559e+16 5.9795e+18 nan -1 4 74
5.8559e+16 6.7415e+18 nan -1 4 75
5.8559e+16 7.6006e+18 nan -1 4 76
5.8559e+16 8.5691e+18 nan -1 4 77
5.8559e+16 9.6611e+18 nan -1 4 78
5.8559e+16 1.0892e+19 nan -1 4 79
5.8559e+16 1.228e+19 nan -1 4 80
5.8559e+16 1.3845e+19 nan -1 4 81
5.8559e+16 1.5609e+19 nan -1 4 82
5.8559e+16 1.7598e+19 nan -1 4 83
5.8559e+16 1.9841e+19 nan -1 4 84
5.8559e+16 2.2369e+19 nan -1 4 85
5.8559e+16 2.522e+19 nan -1 4 86
5.8559e+16 2.8434e+19 nan -1 4 87
5.8559e+16 3.2057e+19 nan -1 4 88
5.8559e+16 3.6142e+19 nan -1 4 89
5.8559e+16 4.0748e+19 nan -1 4 90
5.8559e+16 4.594e+19 nan -1 4 91
5.8559e+16 5.1795e+19 nan -1 4 92
5.8559e+16 5.8395e+19 nan -1 4 93
5.8559e+16 6.5836e+19 nan -1 4 94
5.8559e+16 7.4226e+19 nan -1 4 95
5.8559e+16 8.3685e+19 nan -1 4 96
5.8559e+16 9.4349e+19 nan -1 4 97
5.8559e+16 1.0637e+20 nan -1 4 98
5.8559e+16 1.1993e+20 nan -1 4 99
6.3412e+16 442830000000000.0 0.0 0 5 0
6.3412e+16 942100000000000.0 0.0 0 5 1
6.3412e+16 1062200000000000.0 0.0 0 5 2
6.3412e+16 1197500000000000.0 0.0 0 5 3
6.3412e+16 1350100000000000.0 0.0 0 5 4
6.3412e+16 1522100000000000.0 0.0 0 5 5
6.3412e+16 1716100000000000.0 0.0 0 5 6
6.3412e+16 1934800000000000.0 0.0 0 5 7
6.3412e+16 2181400000000000.0 0.0 0 5 8
6.3412e+16 2459300000000000.0 0.0 0 5 9
6.3412e+16 2772700000000000.0 0.0 0 5 10
6.3412e+16 3126000000000000.0 0.0 0 5 11
6.3412e+16 3524400000000000.0 0.0 0 5 12
6.3412e+16 3973500000000000.0 0.0 0 5 13
6.3412e+16 4479900000000000.0 0.0 0 5 14
6.3412e+16 5050800000000000.0 0.0 0 5 15
6.3412e+16 5694400000000000.0 0.0 0 5 16
6.3412e+16 6420000000000000.0 0.0 0 5 17
6.3412e+16 7238100000000000.0 0.0 0 5 18
6.3412e+16 8160500000000000.0 0.0 0 5 19
6.3412e+16 9200400000000000.0 0.0 0 5 20
6.3412e+16 1.0373e+16 0.0 0 5 21
6.3412e+16 1.1695e+16 0.0 0 5 22
6.3412e+16 1.3185e+16 0.0 0 5 23
6.3412e+16 1.4865e+16 0.0 0 5 24
6.3412e+16 1.6759e+16 0.0 1 5 25
6.3412e+16 1.8895e+16 0.0 1 5 26
6.3412e+16 2.1303e+16 0.0 1 5 27
6.3412e+16 2.4017e+16 nan -1 5 28
6.3412e+16 2.7078e+16 nan -1 5 29
6.3412e+16 3.0529e+16 nan -1 5 30
6.3412e+16 3.4419e+16 nan -1 5 31
6.3412e+16 3.8805e+16 nan -1 5 32
6.3412e+16 4.375e+16 nan -1 5 33
6.3412e+16 4.9325e+16 nan -1 5 34
6.3412e+16 5.561e+16 nan -1 5 35
6.3412e+16 6.2697e+16 nan -1 5 36
